DIRECTORIO;SECUENCIA_P;TAM_HOGAR;ORDEN;P3271;P6040;P6050;P6070;P6090;P6100;P6110;P6120;P6160;P6170;P3041;P3042;P3042S1;P3042S2;CLASE;P400;P401;P402;P403;P404;P3564;P405;P408;P409;P410;P410S1;P411;P411S1;P412;P412S1;P413;P414;P415;P416;P420;P3131S1;P3131S1A1;P3131S1A2;P3131S2;P3131S2A1;P3131S2A2;P3131S3;P3131S3A1;P3131S3A2;P3132S1;P3132S1A1;P3132S1A2;P3132S2;P3132S2A1;P3132S2A2;P3132S3;P3132S3A1;P3132S3A2;P3133S1;P3133S1A1;P3133S1A2;P3133S2;P3133S2A1;P3133S2A2;P3133S3;P3133S3A1;P3133S3A2;P3134S1;P3134S1A1;P3134S1A2;P3134S2;P3134S2A1;P3134S2A2;P3134S3;P3134S3A1;P3134S3A2;P3135S1;P3135S1A1;P3135S1A2;P3135S2;P3135S2A1;P3135S2A2;P3135S3;P3135S3A1;P3135S3A2;P3136S1;P3136S1A1;P3136S1A2;P3136S2;P3136S2A1;P3136S2A2;P3136S3;P3136S3A1;P3136S3A2;P3137;P3137S1;P3137S2;P3138;P3138S1;P3138S2;P3139;P3139S1;P3139S2;P3141;P3141S1;P3141S2;P3142;P3142S1;P3142S2;P3143;P3143S1;P3143S2;P3144;P3144S1;P3144S2;P3145;P3145S1;P3145S2;P3502;P3502S1;P3502S2;P3503;P3503S1;P3503S2;P3504;P3504S1;P3504S2;P423;RAMA4D_R4;RAMA2D_R4;FEX_C;AREA;OFICIO_C8
7567369;1;3;3;2;9;8;;1;1;5;;1;1;1;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;568.48712736;05;
7567370;1;3;3;2;15;3;6;1;3;;;1;1;1;4;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;1;2;;;2;;;1;7;2;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;823.35349427;05;
7567371;1;7;6;2;15;3;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;381.93247828;05;
7567371;1;7;7;1;12;3;6;1;3;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;381.93247828;05;
7567381;1;4;3;1;11;3;6;1;3;;;1;1;1;3;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;324.50011544;05;
7567381;1;4;4;2;8;3;;1;3;;;1;1;1;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;324.50011544;05;
7567385;1;2;2;2;6;3;;1;3;;;2;1;1;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;360.3471783;05;
7567391;1;4;3;1;8;3;;1;1;5;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;333.77154731;05;
7567392;1;4;3;2;13;3;6;1;1;5;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;333.77154731;05;
7567392;1;4;4;1;9;3;;1;1;5;;1;1;2;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;333.77154731;05;
7567394;1;3;3;2;14;3;6;1;1;5;;1;1;2;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;511.45305968;05;
7567399;1;3;3;1;13;3;6;1;1;5;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;348.15371457;05;
7567402;1;2;2;2;16;3;6;1;3;;;1;1;2;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;1;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;390.89273491;05;
7567403;1;12;12;2;12;9;6;1;1;5;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;2;2;;;2;;;2;;;2;;;2;;;1;7;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;200.80958081;05;
7567403;1;12;6;2;13;8;6;1;3;;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;3;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;200.80958081;05;
7567403;1;12;7;2;6;8;;1;3;;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;200.80958081;05;
7567407;1;3;3;2;12;3;6;1;1;5;;1;1;1;3;5;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;455.24942675;05;
7567408;1;4;3;1;9;3;;1;1;5;;1;1;1;3;3;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;452.63615102;05;
7567408;1;4;4;1;8;3;;1;1;5;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;452.63615102;05;
7567409;1;2;2;2;7;3;;1;1;5;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;527.6347278;05;
7567411;1;2;2;2;16;3;6;1;1;5;;1;1;2;5;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;1;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;407.73074524;05;
7567412;1;4;3;1;11;3;6;1;1;5;;1;1;2;3;5;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;426.10662423;05;
7567414;1;3;3;1;13;3;6;1;1;5;;1;1;1;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;417.78445749;05;
7567415;1;9;3;2;5;3;;1;1;5;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;337.80117048;05;
7567415;1;9;9;1;12;9;6;1;1;5;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;337.80117048;05;
7567423;1;6;5;1;12;9;6;1;1;5;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;209.52826304;08;
7567423;1;6;6;1;7;9;;1;1;5;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;209.52826304;08;
7567424;1;4;3;1;17;3;6;1;1;5;;1;2;;5;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;3;1;2;;;2;;;1;1;1;2;;;2;;;1;4;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;145.35511483;08;
7567426;1;3;3;2;11;3;6;1;3;;;1;1;1;3;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;1;1;1;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;594.19254424;08;
7567429;1;3;3;2;11;3;6;1;1;5;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;2144.710456;11;
7567435;2;4;2;2;6;3;;1;3;;;2;2;;2;1;;1;6;2;2;2;2;;;;;;;;;;;;;;;;1;5;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;2183.3403993;11;
7567437;1;4;3;1;13;3;6;1;1;5;;1;1;2;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1091.8443001;11;
7567442;1;3;3;1;16;3;6;1;1;5;;1;1;1;5;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1076.5692483;11;
7567443;1;4;3;1;14;3;6;2;;;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;1;2;;;2;;;2;;;2;;;2;;;1;7;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1246.656522;11;
7567443;1;4;4;1;8;3;;2;;;;1;1;1;3;1;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;3;;;1246.656522;11;
7567445;1;5;3;2;5;3;;1;3;;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1409.1595679;11;
7567449;1;5;3;2;17;3;6;1;3;;;1;2;;4;4;;1;1;;;;;1;2;1;960000;1;220000;2;;2;;;5;48;48;7;1;7;2;2;;;2;;;1;3;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;5611;56;1080.80917;11;5131
7567461;1;3;3;2;10;3;6;1;1;5;;1;1;2;3;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1471.0455398;11;
7567468;1;3;3;2;13;3;6;1;1;5;;1;1;1;4;1;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;2;2;2;;;2;;;2;;;2;;;2;;;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1453.3829004;11;
7567475;1;2;2;1;11;3;6;1;1;5;;1;1;1;3;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1802.2404021;11;
7567476;1;4;3;2;15;3;6;1;1;5;;1;1;1;4;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;1;7;3;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;2492.7546528;11;
7567476;1;4;4;2;6;3;;1;1;5;;2;1;1;2;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;2492.7546528;11;
7567479;1;2;2;1;15;3;6;1;1;5;;1;1;1;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1016.2278201;11;
7567480;1;4;3;2;7;3;;1;1;5;;1;1;2;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;4;;;1365.2800038;11;
7567482;1;4;4;2;12;3;6;1;1;5;;1;1;2;4;2;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;2204.8262514;11;
7567484;1;4;4;1;17;8;6;1;1;5;;1;2;;5;2;;1;4;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;7;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;1003.5509468;11;
7567489;1;4;3;2;15;3;6;1;1;5;;1;1;2;5;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;136.82591145;13;
7567489;1;4;4;2;12;3;6;1;1;5;;1;1;2;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;136.82591145;13;
7567497;1;6;6;1;14;8;6;1;1;5;;1;1;2;4;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;1;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;78.49636382;13;
7567498;1;3;3;1;17;8;6;1;1;5;;1;1;2;10;2;512;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;108.71207468;13;
7567500;1;5;3;1;11;8;6;1;3;;;1;1;1;3;3;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;139.96191907;13;
7567500;1;5;4;2;7;8;;1;3;;;2;1;1;3;0;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;139.96191907;13;
7567503;1;9;6;1;12;9;6;2;;;;1;1;1;4;0;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;81.977215133;13;
7567503;1;9;7;1;10;9;6;1;3;;;1;1;1;3;4;;1;3;2;;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;1;2;1;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;81.977215133;13;
7567503;1;9;8;2;8;9;;1;3;;;1;2;;3;2;;1;3;2;2;2;2;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;2;;;;;;2;;;2;;;2;;;;;;81.977215133;13;
